Year,Month,Trading_Cashflow,Electricity_sold_earnings,Electricity_purchased_cost,RCS_OpEx_Cashflow,RPS_OpEx_Cashflow,RSS_Cashflow,Grid_Toll_Cashflow,EBITDA,Energy_In,Energy_Out,rps_startups,rcs_startups,avr_elec_price_purchase,avr_elec_price_sell,aoh_rps (Est),aoh_rcs (Est)
2043,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2043,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2043,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2043,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2043,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2043,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2043,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2043,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2043,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2043,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2043,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2044,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2044,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2044,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2044,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2044,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2044,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2044,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2044,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2044,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2044,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2044,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2044,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2045,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2045,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2045,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2045,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2045,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2045,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2045,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2045,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2045,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2045,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2045,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2045,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2046,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2046,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2046,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2046,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2046,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2046,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2046,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2046,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2046,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2046,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2046,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2046,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2047,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2047,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2047,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2047,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2047,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2047,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2047,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2047,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2047,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2047,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2047,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2047,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2048,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2048,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2048,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2048,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2048,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2048,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2048,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2048,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2048,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2048,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2048,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2048,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2049,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2049,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2049,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2049,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2049,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2049,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2049,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2049,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2049,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2049,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2049,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2049,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2050,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2050,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2050,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2050,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2050,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2050,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2050,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2050,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2050,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2050,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2050,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2050,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2051,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2051,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2051,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2051,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2051,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2051,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2051,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2051,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
2051,9.0,10196561.194879228,10439190.008421011,-242628.8135417831,-9124307.93215944,-38549.60327507094,-87.11097078082193,0.0,1033616.5484739358,7861.423098689653,-93747.827856,26,36,30.86321782912621,111.35394010894821,102.9993019269103,259.5454813289037
2051,10.0,5501691.540275835,5921033.086248459,-419341.54597262415,-5212606.1548616635,-44617.596640628464,-90.01466980684933,0.0,244377.7741037367,9311.58852466153,-56955.061344,34,41,45.034372477049175,103.95973503542223,121.99917315614618,157.68289408637875
2051,11.0,15778254.821153754,16079696.4200961,-301441.59894234466,-13743288.594740126,-20421.29136113598,-87.11097078082193,0.0,2014457.8240817117,3358.2778285664535,-135182.292288,12,29,89.76076856363635,118.94824498048165,43.999701794019934,374.2588380066445
2051,12.0,22215017.67654251,22420779.791667856,-205762.11512534824,-18136671.293393414,-18807.796627568518,-90.01466980684933,0.0,4059448.5718517173,2900.330851943755,-177336.866976,13,17,70.94435967105262,126.43044942652668,37.99974245847176,490.96585541528236
2052,1.0,4611237.623617533,4827665.111814238,-216427.4881967056,-4370402.615598485,-20958.613295323514,-90.01466980684933,0.0,219786.38005391692,3434.6023246702366,-44587.32984,15,27,63.01384199333332,108.27437142206402,44.9996950166113,123.44221993355481
2052,2.0,833567.7350433869,889208.3461454569,-55640.61110207,-861768.6392965574,-11357.899869670931,-81.30357272876714,0.0,-39640.10769557022,1221.1919376605285,-9079.160832000001,11,11,45.56254376249999,97.93948610441983,15.999891561461794,25.136104186046516
2052,3.0,804867.1615370632,858317.5764239379,-53450.41488687476,-902143.5372963445,-15735.201387918525,-90.01466980684933,0.0,-113101.59181700672,2137.0858909059248,-10113.531456,12,11,25.010887542857144,84.8682362,27.999810232558136,27.999810232558143
2052,4.0,0.0,0.0,0.0,-14674.615890410958,-6901.872306676009,-87.11097078082193,0.0,-21663.59916786779,0.0,0.0,0,0,0.0,0.0,0.0,-0.0
2052,5.0,86514.39636032889,86514.39636032889,0.0,-110197.31627588035,-8053.713288793541,-90.01466980684933,0.0,-31826.64787415185,228.97348831134912,-1083.592656,2,2,-0.0,79.84033103333333,2.9999796677740864,2.9999796677740864
2052,6.0,3161263.8902359195,3314898.533169945,-153634.6429340255,-3035231.341818638,-21957.588980960976,-87.11097078082193,0.0,103987.84846553917,3739.9003090853685,-31899.000048,15,19,41.07987653061224,103.91857199855335,48.99966790697674,88.31395362126247
2052,7.0,6080356.815686136,6390630.601490417,-310273.7858042804,-5517550.438090766,-35707.07044564348,-90.01466980684933,0.0,527009.2924799195,7098.178137651822,-58313.772336,28,36,43.71174966129032,109.5904165600544,92.99936970099668,161.44455242524919
2052,8.0,14170448.667227436,14546139.522404252,-375690.8551768153,-12445140.329598652,-32327.215682028487,-90.01466980684933,0.0,1692891.1072769477,6258.608680510209,-124707.159264,20,33,60.02785512804878,116.6423772961636,81.9994442524917,345.25791601328905
